roast,tds_percent,pe_percent,attribute,attribute_key,mean_intensity,n_or_se_if_given,lsd_group,fisher_lsd_main_effect,varied_factor,significant_interaction,source_table
all,1.25,all,Dark Green Veg Flavor,dark_green_veg_flavor,20.5,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Dark Green Veg Flavor,dark_green_veg_flavor,19.7,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Dark Green Veg Flavor,dark_green_veg_flavor,19.6,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Dark Green Veg Flavor,dark_green_veg_flavor,19.8,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Dark Green Veg Flavor,dark_green_veg_flavor,19.3,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Dried Fruit Flavor,dried_fruit_flavor,21.1,,a,1.67,roast,,Frost2020_SI Supplemental B
Medium,all,all,Dried Fruit Flavor,dried_fruit_flavor,20.1,,a,1.67,roast,,Frost2020_SI Supplemental B
Dark,all,all,Dried Fruit Flavor,dried_fruit_flavor,17.9,,b,1.67,roast,,Frost2020_SI Supplemental B
all,1.00,all,Dried Fruit Flavor,dried_fruit_flavor,18.4,,,1.67,tds,,Frost2020_SI Supplemental B
all,1.25,all,Dried Fruit Flavor,dried_fruit_flavor,19.9,,,1.67,tds,,Frost2020_SI Supplemental B
all,1.50,all,Dried Fruit Flavor,dried_fruit_flavor,20.7,,,1.67,tds,,Frost2020_SI Supplemental B
all,all,16,Dried Fruit Flavor,dried_fruit_flavor,21.2,,a,1.67,pe,,Frost2020_SI Supplemental B
all,all,20,Dried Fruit Flavor,dried_fruit_flavor,19.0,,b,1.67,pe,,Frost2020_SI Supplemental B
all,all,24,Dried Fruit Flavor,dried_fruit_flavor,18.9,,b,1.67,pe,,Frost2020_SI Supplemental B
Light,all,all,Earthy Flavor,earthy_flavor,18.5,,b,1.68,roast,,Frost2020_SI Supplemental B
Medium,all,all,Earthy Flavor,earthy_flavor,21.5,,a,1.68,roast,,Frost2020_SI Supplemental B
Dark,all,all,Earthy Flavor,earthy_flavor,23.1,,a,1.68,roast,,Frost2020_SI Supplemental B
all,1.00,all,Earthy Flavor,earthy_flavor,20.4,,,1.68,tds,,Frost2020_SI Supplemental B
all,1.25,all,Earthy Flavor,earthy_flavor,21.3,,,1.68,tds,,Frost2020_SI Supplemental B
all,1.50,all,Earthy Flavor,earthy_flavor,21.3,,,1.68,tds,,Frost2020_SI Supplemental B
all,all,16,Earthy Flavor,earthy_flavor,19.3,,b,1.68,pe,,Frost2020_SI Supplemental B
all,all,20,Earthy Flavor,earthy_flavor,21.0,,b,1.68,pe,,Frost2020_SI Supplemental B
all,all,24,Earthy Flavor,earthy_flavor,22.8,,a,1.68,pe,,Frost2020_SI Supplemental B
Light,all,all,Fermented Flavor,fermented_flavor,14.9,,,1.47,roast,,Frost2020_SI Supplemental B
Medium,all,all,Fermented Flavor,fermented_flavor,13.4,,,1.47,roast,,Frost2020_SI Supplemental B
Dark,all,all,Fermented Flavor,fermented_flavor,12.7,,,1.47,roast,,Frost2020_SI Supplemental B
all,1.00,all,Fermented Flavor,fermented_flavor,12.3,,b,1.47,tds,,Frost2020_SI Supplemental B
all,1.25,all,Fermented Flavor,fermented_flavor,14.2,,a,1.47,tds,,Frost2020_SI Supplemental B
all,1.50,all,Fermented Flavor,fermented_flavor,14.6,,a,1.47,tds,,Frost2020_SI Supplemental B
all,all,16,Fermented Flavor,fermented_flavor,14.3,,,1.47,pe,,Frost2020_SI Supplemental B
all,all,20,Fermented Flavor,fermented_flavor,13.2,,,1.47,pe,,Frost2020_SI Supplemental B
all,all,24,Fermented Flavor,fermented_flavor,13.5,,,1.47,pe,,Frost2020_SI Supplemental B
Light,all,all,Flavor Persistence,flavor_persistence,40.9,,,2.22,roast,roast_x_tds,Frost2020_SI Supplemental B
Medium,all,all,Flavor Persistence,flavor_persistence,44.1,,,2.22,roast,roast_x_tds,Frost2020_SI Supplemental B
Dark,all,all,Flavor Persistence,flavor_persistence,47.5,,,2.22,roast,roast_x_tds,Frost2020_SI Supplemental B
